step,value,log10_value
0,27,1.4313637641589874
1,82,1.9138138523837167
2,41,1.6127838567197355
3,124,2.0934216851622351
4,62,1.7923916894982539
5,31,1.4913616938342726
6,94,1.9731278535996986
7,47,1.6720978579357175
8,142,2.1522883443830563
9,71,1.8512583487190752
10,214,2.330413773349191
11,107,2.0293837776852097
12,322,2.5078558716958308
13,161,2.2068258760318495
14,484,2.6848453616444123
15,242,2.3838153659804311
16,121,2.0827853703164503
17,364,2.5611013836490559
18,182,2.2600713879850747
19,91,1.9590413923210936
20,274,2.4377505628203879
21,137,2.1367205671564067
22,412,2.6148972160331345
23,206,2.3138672203691533
24,103,2.012837224705172
25,310,2.4913616938342726
26,155,2.1903316981702914
27,466,2.6683859166900001
28,233,2.3673559210260189
29,700,2.8450980400142569
30,350,2.5440680443502757
31,175,2.2430380486862944
32,526,2.7209857441537393
33,263,2.419955748489758
34,790,2.8976270912904414
35,395,2.5965970956264601
36,1186,3.0740846890282438
37,593,2.7730546933642626
38,1780,3.2504200023088941
39,890,2.9493900066449128
40,445,2.6483600109809315
41,1336,3.1258064581395271
42,668,2.8247764624755458
43,334,2.5237464668115646
44,167,2.2227164711475833
45,502,2.7007037171450192
46,251,2.399673721481038
47,754,2.8773713458697738
48,377,2.576341350205793
49,1132,3.0538464268522527
50,566,2.7528164311882715
51,283,2.4517864355242902
52,850,2.9294189257142929
53,425,2.6283889300503116
54,1276,3.1058506743851435
55,638,2.8048206787211623
56,319,2.503790683057181
57,958,2.9813655090785445
58,479,2.6803355134145632
59,1438,3.1577588860468637
60,719,2.8567288903828825
61,2158,3.3340514403468919
62,1079,3.0330214446829107
63,3238,3.5102768444173549
64,1619,3.2092468487533736
65,4858,3.6864575104691117
66,2429,3.3854275148051305
67,7288,3.862608363964942
68,3644,3.5615783683009608
69,1822,3.2605483726369795
70,911,2.9595183769729982
71,2734,3.4367985102318035
72,1367,3.1357685145678222
73,4102,3.6129956560323473
74,2051,3.3119656603683665
75,6154,3.7891574919114395
76,3077,3.4881274962474587
77,9232,3.9652957958116564
78,4616,3.6642658001476751
79,2308,3.3632358044836939
80,1154,3.0622058088197126
81,577,2.7611758131557314
82,1732,3.2385478876813276
83,866,2.9375178920173468
84,433,2.6364878963533656
85,1300,3.1139433523068369
86,650,2.8129133566428557
87,325,2.5118833609788744
88,976,2.9894498176666917
89,488,2.6884198220027105
90,244,2.3873898263387292
91,122,2.0863598306747484
92,61,1.7853298350107671
93,184,2.2648178230095364
94,92,1.9637878273455553
95,46,1.6627578316815741
96,23,1.3617278360175928
97,70,1.8450980400142569
98,35,1.5440680443502757
99,106,2.0253058652647704
100,53,1.7242758696007889
101,160,2.2041199826559246
102,80,1.9030899869919435
103,40,1.6020599913279623
104,20,1.3010299956639813
105,10,1
106,5,0.69897000433601886
107,16,1.2041199826559248
108,8,0.90308998699194354
109,4,0.6020599913279624
110,2,0.3010299956639812
111,1,0
